PROJECTID,PROJECT_NAME,CREATED_BY,DATE_CREATED,PRIOR_PROJECTID,PROJECT_ACTIVE
P001,Time Tracker DB Testing,E001,2025-04-19 21:44:34,,1
P002,Marketing Website Redesign,E004,2025-04-20 10:00:00,,1
P003,Internal Tooling Upgrade,E0009,2025-04-21 09:00:00,,1
P004,Client Onboarding Flow,E007,2025-04-22 14:30:00,,1
P10001,Andean goose,E9003,2025-04-01 00:00:00,,1
P10002,"Antelope, sable",E9013,2025-04-01 00:00:00,,1
P10003,Argalis,E9003,2025-04-01 00:00:00,,1
P10004,Bare-faced go away bird,E9003,2025-04-01 00:00:00,,1
P10005,Bustard,E9010,2025-04-01 00:00:00,,0
P10006,Boat-billed heron,E9004,2025-04-01 00:00:00,,1
P10007,Bottle-nose dolphin,E9004,2025-04-01 00:00:00,,1
P10008,Brazilian tapir,E9023,2025-04-01 00:00:00,,0
P10009,"Dog, raccoon",E9001,2025-04-01 00:00:00,,0
P10010,"Dolphin, striped",E9005,2025-04-01 00:00:00,,1
P10011,"Flamingo, greater",E9005,2025-04-01 00:00:00,,1
P10012,Frilled dragon,E9005,2025-04-01 00:00:00,,1
P10013,Giant heron,E9005,2025-04-01 00:00:00,,1
P10014,"Goose, andean",E9021,2025-04-01 00:00:00,,0
P10015,"Goose, greylag",E9021,2025-04-15 00:00:00,P10014,1
P10016,Greater adjutant stork,E9010,2025-04-15 00:00:00,P10005,1
P10017,Javan gold-spotted mongoose,E9023,2025-04-15 00:00:00,P10008,1
P10018,"Legaan, Monitor (unidentified)",E9013,2025-04-01 00:00:00,,1
P10019,"Lynx, african",E9019,2025-04-01 00:00:00,,1
P10020,Dog,E9001,2025-04-15 00:00:00,P10009,1
P10021,Racoon,E9001,2025-04-15 00:00:00,P10009,1
P10022,"Squirrel, antelope ground",E9019,2025-04-01 00:00:00,,0
P10023,Serin,E9019,2025-04-01 00:00:00,,1
P10024,"Vulture, oriental white-backed",E9019,2025-04-01 00:00:00,,1
P10025,Squirrel,E9013,2025-04-15 00:00:00,P10022,1
